command_id,source_row,repo,module,first_delivery_phase,completion_phase,output,acceptance_focus
EXTRACT_SCRIPT_INLINE,13,scrapling-ingestion,extraction.scripts,P2,P2,Inline script records,Keep values carrying keys/tokens out of routine exports; arbitrary 'AI' or library text is not product proof.
EXTRACT_IFRAME_SRC,14,scrapling-ingestion,extraction.embeds,P2,P2,Embed surface records,Capture reference does not authorize external/private portal navigation; do not combine different tenant frames.
EXTRACT_FORM_ACTION,15,scrapling-ingestion,extraction.forms,P2,P2,Form surface records,No form submissions. An action/reference is not a verified backend CRM connection.
EXTRACT_ANCHORS,16,scrapling-ingestion,extraction.links,P2,P2,Link surface records,"Keep anchor evidence distinct from loaded scripts. Mention, login link, appointment CTA and publisher credit require different mappings."
EXTRACT_IMAGES,17,scrapling-ingestion,extraction.images,P2,P2,Image and badge surface records,"A displayed badge is a website assertion, not independent accreditation. Do not pair separate truncated src/alt arrays."
EXTRACT_LINKS_META,18,scrapling-ingestion,extraction.metadata,P2,P2,Link/meta surface records,Do not independently zip name/content arrays or collapse conflicting meta values without a record.
EXTRACT_JSONLD,19,scrapling-ingestion,extraction.structured_data,P2,P2,JSON-LD blocks + parsed graph,Malformed blocks are not silently absent. Parsed graph identity must be retained; regex hints cannot stand in for a successful parse.
EXTRACT_MICRODATA,20,scrapling-ingestion,extraction.structured_data,P2,P2,Microdata/RDFa surface records,A type belonging to an embedded article or third party is not the site's organization classification.
EXTRACT_FOOTER,21,scrapling-ingestion,extraction.regions,P2,P2,Footer region records,"A 'powered by' or agency link may identify a site provider, not software owned or used internally by the prospect."
EXTRACT_HEADER_NAV,22,scrapling-ingestion,extraction.regions,P2,P2,CTA region records,"Use approved public interactions only for rendered controls; no login, booking, payment or other state-changing action."
EXTRACT_DATA_ATTRS,23,scrapling-ingestion,extraction.attributes,P2,P2,Attribute surface records,"Whitespace, quoting and case fixtures; fake attribute text in comments/prose does not qualify as a real node."
EXTRACT_NOSCRIPT,24,scrapling-ingestion,extraction.noscript,P2,P2,Noscript surface records,Fallback code is not evidence that a request executed in the rendered session.
EXTRACT_VISIBLE_TEXT,25,scrapling-ingestion,extraction.prose,P2,P2,Text spans + role context,For prose rules only; not the sole technology surface. Do not label regex tag stripping as true browser visibility.
EXTRACT_URL_FEATURES,26,scrapling-ingestion,extraction.url_features,P2,P2,URL/path surface records,"Query values containing personal data or secrets are restricted/redacted; /jobs is a path, not a job count."
EXTRACT_HEADERS,27,scrapling-ingestion,capture.headers_cookies,P1,P2,Header/cookie surface records,Transport observations must retain response provenance. Cookie values and secrets are not normal fingerprint exports.
MATCH_SUBSTRING,28,scrapling-ingestion,matching.literal,P2,P2,FingerprintMatch,No generic raw substring shortcut for hostname authority; case-sensitive paths/IDs remain case-sensitive when required.
MATCH_OR_GROUP,29,scrapling-ingestion,matching.groups,P2,P2,FingerprintMatch,Do not split quoted phrases or arbitrary natural-language guards on every occurrence of OR.
MATCH_REGEX,30,scrapling-ingestion,matching.regex,P2,P2,FingerprintMatch,Prefer parsed JSON-LD and attributes. Regex compilation alone is not timeout/cost safety.
MATCH_HOST_SUFFIX,31,scrapling-ingestion,matching.host,P2,P2,FingerprintMatch,"Reject notvendor.com, vendor.com.evil, vendor in path/query, and vendor.com@evil. Do not collapse a specific cdn hostname to its parent."
MATCH_FOOTER_LITERAL,32,scrapling-ingestion,matching.regions,P2,P2,FingerprintMatch,Do not automatically turn footer provider credits into prospect product-use facts.
MATCH_IMG_ALT,33,scrapling-ingestion,matching.images,P2,P2,FingerprintMatch,Whole-page raw fallback is candidate evidence only. Displayed credential is not credential verification.
GATE_AND,34,scrapling-ingestion,qualification.vertical_guards,P2,P2,VerticalQualification,The workbook's named AND gate uses ANY among listed OR terms. Do not suppress a valid generic vendor observation when vertical qualification fails.
GATE_SCHEMA,35,scrapling-ingestion,qualification.schema_support,P2,P2,SchemaAssessment,"No schema is not a failure; wrong or unbound type is a warning/confound, not an automatic negative."
GATE_NEGATIVE,36,scrapling-ingestion,ranking.negative_policy,P2,P2,DeprioritizationAssessment,Commercial negatives neither retract facts nor count as operational DNC restrictions.
ROLLUP_HOST,37,scrapling-ingestion,aggregation.host_index,P2,P2,HostEvidenceIndex + HostResult,"Do not concatenate into anonymous strings, cross host/subject scope, or discard duplicate rule supports. Two modes avoid the workbook ordering ambiguity."
SCORE_HOST,38,scrapling-ingestion,ranking.priority,P2,P2,PriorityAssessment,The workbook does not specify numerical weights. Mark proposed weights uncalibrated; never use score to promote a candidate fact.
EMIT,39,scrapling-ingestion,output.scan_bundle,P1,P2,ScanBundle + HostResult/Hit projections,"No-hit, incomplete and failed states remain distinct; write atomically/idempotently. HostResult alone cannot serve as the fact evidence store."
